epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4444.08,0.67019,0.48684,0.93863,0.92747,0.80836,0.84049,0.60125,1.28906,0.86146,1.28664,9.90318e-05,9.90318e-05,9.90318e-05
89,4494.01,0.68933,0.50552,0.95066,0.90723,0.81981,0.84379,0.59931,1.29379,0.86212,1.29332,9.19632e-05,9.19632e-05,9.19632e-05
90,4543.9,0.68404,0.49825,0.9475,0.90485,0.82329,0.84639,0.60332,1.28709,0.86767,1.28113,8.48946e-05,8.48946e-05,8.48946e-05
91,4593.03,0.61289,0.45154,0.90248,0.90172,0.81361,0.83682,0.59824,1.27409,0.87059,1.28371,7.7826e-05,7.7826e-05,7.7826e-05
92,4642.2,0.60921,0.4512,0.90245,0.9004,0.81614,0.83742,0.59877,1.27427,0.87542,1.28882,7.07574e-05,7.07574e-05,7.07574e-05
93,4691.35,0.59547,0.44462,0.90019,0.9021,0.81408,0.84238,0.59804,1.282,0.88141,1.29512,6.36888e-05,6.36888e-05,6.36888e-05
94,4740.42,0.60803,0.4475,0.89859,0.89865,0.816,0.84033,0.60298,1.27093,0.87493,1.28179,5.66202e-05,5.66202e-05,5.66202e-05
95,4789.58,0.59225,0.44138,0.90209,0.90999,0.80447,0.8385,0.60316,1.26221,0.86672,1.27144,4.95516e-05,4.95516e-05,4.95516e-05
96,4838.58,0.58873,0.43461,0.89892,0.91421,0.79762,0.84281,0.60762,1.26567,0.86255,1.27351,4.2483e-05,4.2483e-05,4.2483e-05
97,4887.75,0.58754,0.43612,0.89422,0.92245,0.79415,0.83786,0.60615,1.25699,0.85695,1.27035,3.54144e-05,3.54144e-05,3.54144e-05
98,4936.85,0.56796,0.42562,0.89106,0.92551,0.79579,0.83895,0.60719,1.25928,0.84917,1.26969,2.83458e-05,2.83458e-05,2.83458e-05
99,4985.96,0.58653,0.43395,0.8965,0.92516,0.79861,0.84404,0.61052,1.25512,0.83923,1.26893,2.12772e-05,2.12772e-05,2.12772e-05
100,5035.19,0.57413,0.43374,0.88223,0.91111,0.80845,0.84385,0.61145,1.2572,0.84457,1.27359,1.42086e-05,1.42086e-05,1.42086e-05
